hbs_category,category,country,year,mean_expenditure_pps_hh,household_count,household_share,group_consumption_share,group_consumption_share_pm,source
age,Less than 30 years,AT,1994,21015,545,0.0825257419745609,0.0708957033545758,70.8957033545758,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 30 to 44 years,AT,1994,27134,2134,0.323137492428831,0.358428268810388,358.428268810388,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 45 to 59 years,AT,1994,28706,1978,0.299515445184737,0.351473824128417,351.473824128417,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,60 years or over,AT,1994,18188,1947,0.294821320411872,0.219202203706619,219.202203706619,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,Less than 30 years,AT,1999,20755,648,0.0912933220625528,0.0700866061971463,70.0866061971463,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 30 to 44 years,AT,1999,31436,2543,0.358269935193012,0.416592001539679,416.592001539679,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 45 to 59 years,AT,1999,29788,2053,0.28923640462102,0.318689372897459,318.689372897459,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,60 years or over,AT,1999,20145,1854,0.261200338123415,0.194632019365716,194.632019365716,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,Less than 30 years,AT,2005,26197,788,0.0938095238095238,0.0799012055705045,79.9012055705045,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 30 to 44 years,AT,2005,33404,3075,0.366071428571429,0.397575075097101,397.575075097101,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 45 to 59 years,AT,2005,35516,2343,0.278928571428571,0.322086031547065,322.086031547065,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,60 years or over,AT,2005,23603,2194,0.261190476190476,0.20043768778533,200.43768778533,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,Less than 30 years,AT,2010,27197,627,0.095959595959596,0.0783990328910208,78.3990328910208,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 30 to 44 years,AT,2010,35919,1860,0.284664830119376,0.307156241496484,307.156241496484,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 45 to 59 years,AT,2010,38135,2128,0.32568105295378,0.373093375229105,373.093375229105,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,60 years or over,AT,2010,27356,1919,0.293694520967248,0.24135135038339,241.35135038339,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,Less than 30 years,AT,2015,28140,652,0.0910360234571349,0.0739236768923439,73.9236768923439,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 30 to 44 years,AT,2015,36800,1834,0.256073722423904,0.271931188812541,271.931188812541,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 45 to 59 years,AT,2015,39235,2336,0.326165875453784,0.369282193396892,369.282193396892,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,60 years or over,AT,2015,30214,2340,0.326724378665177,0.284862940898223,284.862940898223,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,Less than 30 years,AT,2020,30111,652,0.0913293178316291,0.0791546922868843,79.1546922868843,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 30 to 44 years,AT,2020,37213,1746,0.244572068917215,0.261964723512238,261.964723512238,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 45 to 59 years,AT,2020,38913,2200,0.308166409861325,0.345160655580027,345.160655580027,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,60 years or over,AT,2020,30622,2541,0.355932203389831,0.313719928620851,313.719928620851,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,Less than 30 years,BE,1988,16551,309,0.0932689405372774,0.0885677087577096,88.5677087577096,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 30 to 44 years,BE,1988,20441,1141,0.344400845155448,0.403906157688014,403.906157688014,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 45 to 59 years,BE,1988,18053,878,0.265016601267733,0.274496359876607,274.496359876607,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,60 years or over,BE,1988,13661,985,0.297313613039541,0.23302977367767,233.02977367767,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,Less than 30 years,BE,1994,21555,229,0.0840675477239354,0.0803442227934973,80.3442227934973,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 30 to 44 years,BE,1994,25652,1002,0.36784140969163,0.418369578199972,418.369578199972,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
