country,year,category,mean_expenditure_pps_hh,group_consumption_share,group_consumption_share_pm,source
AT,1994,First quintile,21697,0.178416071178942,178.416071178942,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
AT,1994,Second quintile,19987,0.164354611911947,164.354611911947,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
AT,1994,Third quintile,22706,0.186713154454029,186.713154454029,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
AT,1994,Fourth quintile,25606,0.210560073678757,210.560073678757,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
AT,1994,Fifth quintile,31613,0.259956088776324,259.956088776324,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
AT,1999,First quintile,17124,0.129491833030853,129.491833030853,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
AT,1999,Second quintile,23066,0.174425287356322,174.425287356322,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
AT,1999,Third quintile,25811,0.195183000604961,195.183000604961,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
AT,1999,Fourth quintile,28526,0.215713853599516,215.713853599516,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
AT,1999,Fifth quintile,37713,0.285186025408349,285.186025408349,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
AT,2005,First quintile,24766,0.164193749419892,164.193749419892,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
AT,2005,Second quintile,23801,0.157795987642044,157.795987642044,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
AT,2005,Third quintile,28511,0.189022368961905,189.022368961905,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
AT,2005,Fourth quintile,32398,0.21479242080698,214.79242080698,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
AT,2005,Fifth quintile,41358,0.274195473169179,274.195473169179,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
AT,2010,First quintile,17440,0.104954022435126,104.954022435126,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
AT,2010,Second quintile,25409,0.152911511241635,152.911511241635,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
AT,2010,Third quintile,31915,0.192064657455106,192.064657455106,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
AT,2010,Fourth quintile,39331,0.236694189013529,236.694189013529,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
AT,2010,Fifth quintile,52073,0.313375619854605,313.375619854605,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
AT,2015,First quintile,18985,0.110068180237007,110.068180237008,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
AT,2015,Second quintile,24394,0.141427610676932,141.427610676932,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
AT,2015,Third quintile,33100,0.1919018575636,191.9018575636,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
AT,2015,Fourth quintile,40005,0.231934556248696,231.934556248696,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
AT,2015,Fifth quintile,56000,0.324667795273765,324.667795273765,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
AT,2020,First quintile,18548,0.106808248443771,106.808248443771,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
AT,2020,Second quintile,25987,0.149645565684078,149.645565684078,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
AT,2020,Third quintile,33409,0.19238498879976,192.38498879976,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
AT,2020,Fourth quintile,40969,0.235919081868281,235.919081868281,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
AT,2020,Fifth quintile,54744,0.315242115204109,315.242115204109,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BE,1988,First quintile,7156,0.0846513278523688,84.6513278523688,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BE,1988,Second quintile,11397,0.134819897084048,134.819897084048,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BE,1988,Third quintile,15173,0.179487786124091,179.487786124091,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BE,1988,Fourth quintile,19774,0.233914946471876,233.914946471876,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BE,1988,Fifth quintile,31035,0.367126042467617,367.126042467617,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BE,1994,First quintile,18933,0.166706289457696,166.706289457696,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BE,1994,Second quintile,19308,0.170008188710146,170.008188710146,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BE,1994,Third quintile,20557,0.181005714486973,181.005714486973,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BE,1994,Fourth quintile,25324,0.222979457784117,222.979457784117,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BE,1994,Fifth quintile,29449,0.259300349561068,259.300349561068,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BE,1999,First quintile,18699,0.136485066129456,136.485066129456,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BE,1999,Second quintile,23758,0.173410995299407,173.410995299407,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BE,1999,Third quintile,25717,0.187709847887653,187.709847887653,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BE,1999,Fourth quintile,30098,0.219687016437476,219.687016437476,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BE,1999,Fifth quintile,38732,0.282707074246007,282.707074246007,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BE,2005,First quintile,18929,0.126029494989847,126.029494989847,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BE,2005,Second quintile,24998,0.166436965278471,166.436965278471,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BE,2005,Third quintile,29634,0.197303505442924,197.303505442924,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BE,2005,Fourth quintile,34173,0.227524218515929,227.524218515929,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BE,2005,Fifth quintile,42461,0.282705815772829,282.705815772829,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BE,2010,First quintile,15853,0.101345044941378,101.345044941378,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BE,2010,Second quintile,22575,0.144317440834644,144.317440834644,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BE,2010,Third quintile,29621,0.189361103652845,189.361103652845,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BE,2010,Fourth quintile,37494,0.239691611368954,239.691611368954,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BE,2010,Fifth quintile,50883,0.325284799202179,325.284799202179,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BE,2015,First quintile,17699,0.101350267992121,101.350267992121,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BE,2015,Second quintile,25857,0.148065646616886,148.065646616886,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BE,2015,Third quintile,32985,0.188882908058088,188.882908058088,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BE,2015,Fourth quintile,42721,0.244634431261166,244.634431261166,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BE,2015,Fifth quintile,55370,0.317066746071739,317.066746071739,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BE,2020,First quintile,18511,0.119758038429191,119.758038429191,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BE,2020,Second quintile,24796,0.16041922753445,160.41922753445,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BE,2020,Third quintile,29093,0.188218929934657,188.218929934657,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BE,2020,Fourth quintile,36629,0.236973539496668,236.973539496668,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BE,2020,Fifth quintile,45541,0.294630264605033,294.630264605033,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BG,2005,First quintile,3782,0.10655322026258,106.55322026258,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BG,2005,Second quintile,5395,0.151997520707725,151.997520707725,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BG,2005,Third quintile,6886,0.194004620499239,194.004620499239,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
