category,year,quintile,consumption_to_income,relative_income,relative_income_share,implied_consumption,implied_consumption_share,reproduced_ratio
Fifth quintile,2015,Q5,0.59,1.69491525423729,0.304457828571114,0.179630118856957,0.2,0.59
Fifth quintile,2020,Q5,0.59,1.69491525423729,0.304457828571114,0.179630118856957,0.2,0.59
First quintile,2015,Q1,1.61,0.62111801242236,0.111571502395626,0.179630118856957,0.2,1.61
First quintile,2020,Q1,1.61,0.62111801242236,0.111571502395626,0.179630118856957,0.2,1.61
Fourth quintile,2015,Q4,0.83,1.20481927710843,0.216421829948141,0.179630118856957,0.2,0.83
Fourth quintile,2020,Q4,0.83,1.20481927710843,0.216421829948141,0.179630118856957,0.2,0.83
Second quintile,2015,Q2,1.03,0.970873786407767,0.174398173647531,0.179630118856957,0.2,1.03
Second quintile,2020,Q2,1.03,0.970873786407767,0.174398173647531,0.179630118856957,0.2,1.03
Third quintile,2015,Q3,0.93,1.0752688172043,0.193150665437588,0.179630118856957,0.2,0.93
Third quintile,2020,Q3,0.93,1.0752688172043,0.193150665437588,0.179630118856957,0.2,0.93
