year,category,sum_pm,n_coicop3,has_041,has_042,object,error_from_1000,valid
2015,Fifth quintile,1000.00000010359,47,TRUE,TRUE,income_calibrated,1.03586330624239e-07,TRUE
2015,First quintile,1000.00000065268,47,TRUE,TRUE,income_calibrated,6.52682842883223e-07,TRUE
2015,Fourth quintile,1000.00000027091,47,TRUE,TRUE,income_calibrated,2.70909026767185e-07,TRUE
2015,Second quintile,1000.00000053643,47,TRUE,TRUE,income_calibrated,5.36425432073884e-07,TRUE
2015,Third quintile,1000.00000039014,47,TRUE,TRUE,income_calibrated,3.90137415706704e-07,TRUE
2020,Fifth quintile,1000.00000005858,47,TRUE,TRUE,income_calibrated,5.85750967729837e-08,TRUE
2020,First quintile,1000.00000072166,47,TRUE,TRUE,income_calibrated,7.21657670510467e-07,TRUE
2020,Fourth quintile,1000.00000024838,47,TRUE,TRUE,income_calibrated,2.48375386036059e-07,TRUE
2020,Second quintile,1000.00000054684,47,TRUE,TRUE,income_calibrated,5.46844034943206e-07,TRUE
2020,Third quintile,1000.00000039529,47,TRUE,TRUE,income_calibrated,3.95291749555327e-07,TRUE
2015,From 30 to 44 years,1000.00000001992,47,TRUE,TRUE,age_eurostat,1.99203213924193e-08,TRUE
2020,From 30 to 44 years,1000,47,TRUE,TRUE,age_eurostat,0,TRUE
2015,From 45 to 59 years,1000.00000000599,47,TRUE,TRUE,age_eurostat,5.99402483203448e-09,TRUE
2020,From 45 to 59 years,1000,47,TRUE,TRUE,age_eurostat,0,TRUE
2015,60 years or over,1000,47,TRUE,TRUE,age_eurostat,1.13686837721616e-13,TRUE
2020,60 years or over,1000.00000000799,47,TRUE,TRUE,age_eurostat,7.99207100499189e-09,TRUE
2015,Less than 30 years,1000,47,TRUE,TRUE,age_eurostat,0,TRUE
2020,Less than 30 years,1000,47,TRUE,TRUE,age_eurostat,1.13686837721616e-13,TRUE
2015,Fifth quintile,1000.00000015978,47,TRUE,TRUE,consumption_quintile,1.59777982844389e-07,TRUE
2015,First quintile,1000.00000164148,47,TRUE,TRUE,consumption_quintile,1.64148400472186e-06,TRUE
2015,Fourth quintile,1000.00000009975,47,TRUE,TRUE,consumption_quintile,9.97539473246434e-08,TRUE
2015,Second quintile,1000.00000096991,47,TRUE,TRUE,consumption_quintile,9.69908569459221e-07,TRUE
2015,Third quintile,1000.0000004744,47,TRUE,TRUE,consumption_quintile,4.74397438665619e-07,TRUE
2020,Fifth quintile,1000.00000009719,47,TRUE,TRUE,consumption_quintile,9.71892859524814e-08,TRUE
2020,First quintile,1000.00000133187,47,TRUE,TRUE,consumption_quintile,1.33186665607354e-06,TRUE
2020,Fourth quintile,1000.00000007335,47,TRUE,TRUE,consumption_quintile,7.33523393137148e-08,TRUE
2020,Second quintile,1000.00000084427,47,TRUE,TRUE,consumption_quintile,8.44271994537849e-07,TRUE
2020,Third quintile,1000.00000055057,47,TRUE,TRUE,consumption_quintile,5.50568529433804e-07,TRUE
