series_name,coicop,year,category,consumption
IT.income.calibrated.2015.Fifth quintile.011,011,2015,Fifth quintile,145.472729646623
IT.income.calibrated.2015.Fifth quintile.012,012,2015,Fifth quintile,11.46148779034
IT.income.calibrated.2015.Fifth quintile.021,021,2015,Fifth quintile,8.06772341488682
IT.income.calibrated.2015.Fifth quintile.022,022,2015,Fifth quintile,8.06772341488682
IT.income.calibrated.2015.Fifth quintile.023,023,2015,Fifth quintile,1e-06
IT.income.calibrated.2015.Fifth quintile.031,031,2015,Fifth quintile,43.2690340074622
IT.income.calibrated.2015.Fifth quintile.032,032,2015,Fifth quintile,13.2210937245023
IT.income.calibrated.2015.Fifth quintile.041,041,2015,Fifth quintile,31.5141110710561
IT.income.calibrated.2015.Fifth quintile.042,042,2015,Fifth quintile,220.598777497393
IT.income.calibrated.2015.Fifth quintile.043,043,2015,Fifth quintile,5.56131371842166
IT.income.calibrated.2015.Fifth quintile.044,044,2015,Fifth quintile,27.8065685921083
IT.income.calibrated.2015.Fifth quintile.045,045,2015,Fifth quintile,42.6367385078994
IT.income.calibrated.2015.Fifth quintile.051,051,2015,Fifth quintile,8.60804371584792
IT.income.calibrated.2015.Fifth quintile.052,052,2015,Fifth quintile,2.15201092896198
IT.income.calibrated.2015.Fifth quintile.053,053,2015,Fifth quintile,6.45603278688594
IT.income.calibrated.2015.Fifth quintile.054,054,2015,Fifth quintile,2.15201092896198
IT.income.calibrated.2015.Fifth quintile.055,055,2015,Fifth quintile,4.30402185792396
IT.income.calibrated.2015.Fifth quintile.056,056,2015,Fifth quintile,22.5961147541008
IT.income.calibrated.2015.Fifth quintile.061,061,2015,Fifth quintile,25.4587940600045
IT.income.calibrated.2015.Fifth quintile.062,062,2015,Fifth quintile,23.3372278883375
IT.income.calibrated.2015.Fifth quintile.063,063,2015,Fifth quintile,0.265196567045695
IT.income.calibrated.2015.Fifth quintile.071,071,2015,Fifth quintile,24.3114522968771
IT.income.calibrated.2015.Fifth quintile.072,072,2015,Fifth quintile,79.2764748811211
IT.income.calibrated.2015.Fifth quintile.073,073,2015,Fifth quintile,9.51317698573453
IT.income.calibrated.2015.Fifth quintile.081,081,2015,Fifth quintile,0.856948885931936
IT.income.calibrated.2015.Fifth quintile.082,082,2015,Fifth quintile,1.71389777186387
IT.income.calibrated.2015.Fifth quintile.083,083,2015,Fifth quintile,19.7098243764345
IT.income.calibrated.2015.Fifth quintile.091,091,2015,Fifth quintile,5.05378749855424
IT.income.calibrated.2015.Fifth quintile.092,092,2015,Fifth quintile,1.26344687463856
IT.income.calibrated.2015.Fifth quintile.093,093,2015,Fifth quintile,18.9517031195784
IT.income.calibrated.2015.Fifth quintile.094,094,2015,Fifth quintile,20.215149994217
IT.income.calibrated.2015.Fifth quintile.095,095,2015,Fifth quintile,11.371021871747
IT.income.calibrated.2015.Fifth quintile.096,096,2015,Fifth quintile,8.84412812246992
IT.income.calibrated.2015.Fifth quintile.101,101,2015,Fifth quintile,1.14364333792151
IT.income.calibrated.2015.Fifth quintile.102,102,2015,Fifth quintile,1.14364333792151
IT.income.calibrated.2015.Fifth quintile.103,103,2015,Fifth quintile,1.14364333792151e-06
IT.income.calibrated.2015.Fifth quintile.104,104,2015,Fifth quintile,3.43093001376453
IT.income.calibrated.2015.Fifth quintile.105,105,2015,Fifth quintile,1.14364333792151
IT.income.calibrated.2015.Fifth quintile.111,111,2015,Fifth quintile,52.6916249961437
IT.income.calibrated.2015.Fifth quintile.112,112,2015,Fifth quintile,5.98768465865269
IT.income.calibrated.2015.Fifth quintile.121,121,2015,Fifth quintile,32.1484234326288
IT.income.calibrated.2015.Fifth quintile.122,122,2015,Fifth quintile,1.07161411442096e-06
IT.income.calibrated.2015.Fifth quintile.123,123,2015,Fifth quintile,5.3580705721048
