year,category,division,national_share,lambda,adjusted_share_pm_uncontracted,adjusted_share_pm
2015,First quintile,01,0.177777776934388,0.65,211.603447033224,207.777943739614
2015,Second quintile,01,0.177777776934388,0.65,204.359153952747,198.627529180413
2015,Third quintile,01,0.177777776934388,0.65,201.441744672108,193.11910614946
2015,Fourth quintile,01,0.177777776934388,0.65,188.703524569836,182.999588281827
2015,Fifth quintile,01,0.177777776934388,0.65,150.829115867922,156.934217436963
2020,First quintile,01,0.202695955155136,0.65,232.536208614862,231.417481311363
2020,Second quintile,01,0.202695955155136,0.65,235.217860914851,227.566987296348
2020,Third quintile,01,0.202695955155136,0.65,236.121677414411,224.702395150802
2020,Fourth quintile,01,0.202695955155136,0.65,214.696562681191,208.383958927845
2020,Fifth quintile,01,0.202695955155136,0.65,171.509918458145,178.481537084971
2015,First quintile,02,0.0179775290033526,0.65,15.7812405516036,17.2138365998065
2015,Second quintile,02,0.0179775290033526,0.65,18.772362672586,18.8328359293413
2015,Third quintile,02,0.0179775290033526,0.65,21.0053963830977,19.941486602742
2015,Fourth quintile,02,0.0179775290033526,0.65,19.9101682980676,19.0381685762579
2015,Fifth quintile,02,0.0179775290033526,0.65,15.6698096820189,16.1354477261874
2020,First quintile,02,0.0189715435992292,0.65,15.0771950709395,17.1305205466996
2020,Second quintile,02,0.0189715435992292,0.65,17.2906381449274,18.1770340345457
2020,Third quintile,02,0.0189715435992292,0.65,20.7249539207559,20.1363269925227
2020,Fourth quintile,02,0.0189715435992292,0.65,20.7088826136717,19.8990965374553
2020,Fifth quintile,02,0.0189715435992292,0.65,17.9111398252695,17.8870718403872
2015,First quintile,03,0.0469413231231248,0.65,23.0149024240822,32.6483143815028
2015,Second quintile,03,0.0469413231231248,0.65,36.8879497382772,41.1465561666556
2015,Third quintile,03,0.0469413231231248,0.65,43.5603661518711,44.7343775689726
2015,Fourth quintile,03,0.0469413231231248,0.65,50.8664324557248,48.9893843167385
2015,Fifth quintile,03,0.0469413231231248,0.65,63.4741971258647,56.4901277319645
2020,First quintile,03,0.0379430852014539,0.65,17.6623322011928,25.8002612024639
2020,Second quintile,03,0.0379430852014539,0.65,26.2651429597404,30.8584601052186
2020,Third quintile,03,0.0379430852014539,0.65,34.4856775385998,35.7402614453799
2020,Fourth quintile,03,0.0379430852014539,0.65,44.3498986605454,41.6849529957162
2020,Fifth quintile,03,0.0379430852014539,0.65,52.6489920415532,46.4750723355713
2015,First quintile,04,0.353558050757153,0.2,511.367768909038,400.568947679574
2015,Second quintile,04,0.353558050757153,0.2,447.030393366586,379.069203057956
2015,Third quintile,04,0.353558050757153,0.2,386.789498073469,360.129282205317
2015,Fourth quintile,04,0.353558050757153,0.2,342.360073425625,347.746116735504
2015,Fifth quintile,04,0.353558050757153,0.2,261.135009522837,328.117509386878
2020,First quintile,04,0.376435345288109,0.2,533.011711009362,424.871540519191
2020,Second quintile,04,0.376435345288109,0.2,460.408751163322,399.785980381087
2020,Third quintile,04,0.376435345288109,0.2,412.217965996574,384.06997851616
2020,Fourth quintile,04,0.376435345288109,0.2,364.613690945485,370.317104726408
2020,Fifth quintile,04,0.376435345288109,0.2,285.485403695004,350.501142902834
2015,First quintile,05,0.0429463168998802,0.65,23.2588770335937,31.3589168258371
2015,Second quintile,05,0.0429463168998802,0.65,28.7549174045353,34.3394223986288
2015,Third quintile,05,0.0429463168998802,0.65,32.6833572349455,36.2678341887527
2015,Fourth quintile,05,0.0429463168998802,0.65,34.7279084073849,37.2219761522133
2015,Fifth quintile,05,0.0429463168998802,0.65,49.5659820749553,46.2682349726826
2020,First quintile,05,0.0449326008964586,0.65,20.6375373250906,30.3643945501213
2020,Second quintile,05,0.0449326008964586,0.65,27.7684408242357,34.3390105701876
2020,Third quintile,05,0.0449326008964586,0.65,29.9567377582365,35.2421610216359
2020,Fourth quintile,05,0.0449326008964586,0.65,37.0895110958134,39.4348409889167
2020,Fifth quintile,05,0.0449326008964586,0.65,57.8678639304949,52.1874562063452
2015,First quintile,06,0.0461922602053301,0.65,41.7447491603367,45.0383975949333
2015,Second quintile,06,0.0461922602053301,0.65,38.6125137885566,42.021077014989
2015,Third quintile,06,0.0461922602053301,0.65,39.2940925244519,41.6997601637869
2015,Fourth quintile,06,0.0461922602053301,0.65,43.3964775278755,43.9237797137801
2015,Fifth quintile,06,0.0461922602053301,0.65,52.2061563693258,49.0612185153877
2020,First quintile,06,0.0469296053807457,0.65,39.6742149051624,43.9860962064274
2020,Second quintile,06,0.0469296053807457,0.65,41.6700565807977,44.2363148989893
2020,Third quintile,06,0.0469296053807457,0.65,42.9965615971235,44.4284336076429
2020,Fourth quintile,06,0.0469296053807457,0.65,46.1461563213463,45.9545218584445
2020,Fifth quintile,06,0.0469296053807457,0.65,52.4160221444724,49.4042056724286
2015,First quintile,07,0.106866416471795,0.35,29.7291290441469,83.0722573133623
2015,Second quintile,07,0.106866416471795,0.35,47.8660101497742,87.7950656648752
2015,Third quintile,07,0.106866416471795,0.35,63.0688783045997,91.5182039222254
2015,Fourth quintile,07,0.106866416471795,0.35,79.5493566963649,96.3160070806823
2015,Fifth quintile,07,0.106866416471795,0.35,131.530349649039,113.101104163733
