quintile,bridge_group,income_pm,expense_pm,income_over_expense_factor
Q1,CP01_CP02,305,302,1.00993377483444
Q1,CP03,47,47,1
Q1,CP04,361,349,1.03438395415473
Q1,CP05,29,34,0.852941176470588
Q1,CP06,29,28,1.03571428571429
Q1,CP07,78,118,0.661016949152542
Q1,CP08,31,30,1.03333333333333
Q1,CP09,31,29,1.06896551724138
Q1,CP10,2,6,0.333333333333333
Q1,CP11_CP12,88,57,1.54385964912281
Q2,CP01_CP02,256,251,1.0199203187251
Q2,CP03,61,56,1.08928571428571
Q2,CP04,349,346,1.00867052023121
Q2,CP05,35,39,0.897435897435897
Q2,CP06,32,31,1.03225806451613
Q2,CP07,89,124,0.717741935483871
Q2,CP08,27,26,1.03846153846154
Q2,CP09,41,38,1.07894736842105
Q2,CP10,4,9,0.444444444444444
Q2,CP11_CP12,106,79,1.34177215189873
Q3,CP01_CP02,231,224,1.03125
Q3,CP03,69,64,1.078125
Q3,CP04,328,328,1
Q3,CP05,40,46,0.869565217391304
Q3,CP06,35,35,1
Q3,CP07,96,127,0.755905511811024
Q3,CP08,24,23,1.04347826086957
Q3,CP09,53,48,1.10416666666667
Q3,CP10,6,9,0.666666666666667
Q3,CP11_CP12,118,95,1.24210526315789
Q4,CP01_CP02,205,199,1.03015075376884
Q4,CP03,75,69,1.08695652173913
Q4,CP04,307,309,0.993527508090615
Q4,CP05,49,56,0.875
Q4,CP06,40,40,1
Q4,CP07,98,123,0.796747967479675
Q4,CP08,22,21,1.04761904761905
Q4,CP09,61,53,1.15094339622642
Q4,CP10,8,12,0.666666666666667
Q4,CP11_CP12,134,118,1.13559322033898
Q5,CP01_CP02,147,141,1.04255319148936
Q5,CP03,76,67,1.13432835820896
Q5,CP04,239,270,0.885185185185185
Q5,CP05,87,87,1
Q5,CP06,46,44,1.04545454545455
Q5,CP07,163,176,0.926136363636364
Q5,CP08,16,16,1
Q5,CP09,72,49,1.46938775510204
Q5,CP10,9,11,0.818181818181818
Q5,CP11_CP12,145,140,1.03571428571429
