Dimension,Group,year,share_total
Income,First quintile,2005,14.6
Income,First quintile,2015,14.6
Income,First quintile,2020,14.6
Income,Second quintile,2005,17.8
Income,Second quintile,2015,17.8
Income,Second quintile,2020,17.8
Income,Third quintile,2005,20
Income,Third quintile,2015,20
Income,Third quintile,2020,20
Income,Fourth quintile,2005,22.8
Income,Fourth quintile,2015,22.8
Income,Fourth quintile,2020,22.8
Income,Fifth quintile,2005,24.7
Income,Fifth quintile,2015,24.7
Income,Fifth quintile,2020,24.7
Age,Less than 30 years,2015,1.95337334459809
Age,From 30 to 44 years,2015,19.7498718033529
Age,From 45 to 59 years,2015,34.8126106934862
Age,60 years or over,2015,43.4841441585629
Age,Less than 30 years,2020,2.16022043130369
Age,From 30 to 44 years,2020,17.9411850388214
Age,From 45 to 59 years,2020,34.1990760872581
Age,60 years or over,2020,45.6995184426168
Residence area,Rural areas,2005,
Residence area,Rural areas,2015,
Residence area,Rural areas,2020,
Residence area,Towns and suburbs,2005,
Residence area,Towns and suburbs,2015,
Residence area,Towns and suburbs,2020,
Residence area,Cities,2005,
Residence area,Cities,2015,
Residence area,Cities,2020,
