year,quintile,category,coicop,bridge_group,expense_share_pm,income_over_expense_factor,adjusted_share_pm
2015,Q1,First quintile,CP01,CP01_CP02,217.172004736466,1.00993377483444,211.603447033224
2015,Q1,First quintile,CP02,CP01_CP02,16.1965397817081,1.00993377483444,15.7812405516036
2020,Q1,First quintile,CP01,CP01_CP02,238.9130887695,1.00993377483444,232.536208614862
2020,Q1,First quintile,CP02,CP01_CP02,15.4906595658162,1.00993377483444,15.0771950709395
2015,Q1,First quintile,CP03,CP03,23.8552040993752,1,23.0149024240822
2020,Q1,First quintile,CP03,CP03,18.3269544790304,1,17.6623322011928
2015,Q1,First quintile,CP04,CP04,512.419413502721,1.03438395415473,511.367768909038
2020,Q1,First quintile,CP04,CP04,534.684049360393,1.03438395415473,533.011711009362
2015,Q1,First quintile,CP05,CP05,28.2646531547323,0.852941176470588,23.2588770335937
2020,Q1,First quintile,CP05,CP05,25.1062034075512,0.852941176470588,20.6375373250906
2015,Q1,First quintile,CP06,CP06,41.7768689571136,1.03571428571429,41.7447491603367
2020,Q1,First quintile,CP06,CP06,39.747574051588,1.03571428571429,39.6742149051624
2015,Q1,First quintile,CP07,CP07,46.6169214286216,0.661016949152542,29.7291290441469
2020,Q1,First quintile,CP07,CP07,31.0453278675649,0.661016949152542,19.7772814456062
2015,Q1,First quintile,CP08,CP08,30.5803267449643,1.03333333333333,30.4865697637026
2020,Q1,First quintile,CP08,CP08,27.4146129252231,1.03333333333333,27.3011100260354
2015,Q1,First quintile,CP09,CP09,20.2811845517732,1.06896551724138,20.9162109989773
2020,Q1,First quintile,CP09,CP09,15.0231220535021,1.06896551724138,15.4768167104497
2015,Q1,First quintile,CP10,CP10,1.28179569650605,0.333333333333333,0.412214776557816
2020,Q1,First quintile,CP10,CP10,1.60213404442704,0.333333333333333,0.514677688826926
2015,Q1,First quintile,CP11,CP11_CP12,14.8647477719154,1.54385964912281,22.1407007549927
2015,Q1,First quintile,CP12,CP11_CP12,46.6903395741037,1.54385964912281,69.5441895497443
2020,Q1,First quintile,CP11,CP11_CP12,9.73544738391645,1.54385964912281,14.4850993470009
2020,Q1,First quintile,CP12,CP11_CP12,42.9108260914875,1.54385964912281,63.8458156554717
2015,Q2,Second quintile,CP01,CP01_CP02,204.875111237992,1.0199203187251,204.359153952747
2015,Q2,Second quintile,CP02,CP01_CP02,18.8197583340714,1.0199203187251,18.772362672586
2020,Q2,Second quintile,CP01,CP01_CP02,235.295015245871,1.0199203187251,235.217860914851
2020,Q2,Second quintile,CP02,CP01_CP02,17.2963096854039,1.0199203187251,17.2906381449274
2015,Q2,Second quintile,CP03,CP03,34.6261383261821,1.08928571428571,36.8879497382772
