decile_id,decile,electricity_share_mean,electricity_share_p25,electricity_share_p50,electricity_share_p75,transfer_mean,transfer_p25,transfer_p50,transfer_p75
1,Decile 1,0.0439178881295144,0.024959559628958,0.0382629030725967,0.0555716410898211,351.901584047541,116.910492,241.572441,446.507193
2,Decile 2,0.0388807224661292,0.0225703533784201,0.0334542903503197,0.0483323162996647,366.187413062727,127.294527,239.904741,415.590204
3,Decile 3,0.0385202181619055,0.0236108962319058,0.0333320926796075,0.0482074055257736,341.391670332221,133.942569,248.624319,413.95518
4,Decile 4,0.0360863114343406,0.0208691790058755,0.0314619738408482,0.0452599977396709,329.826068100852,130.697298,242.753715,410.20866
5,Decile 5,0.0345957355833022,0.0206314362086757,0.0292393207303599,0.0430477114980519,336.068873113594,141.835395,251.071695,410.778192
6,Decile 6,0.0337853750552923,0.0197593491369831,0.0291475631531221,0.0424825555423854,379.423840329145,157.268784,285.475887,489.290934
7,Decile 7,0.033934447166555,0.0198672616406514,0.028914766274076,0.0430137156213485,365.325851007562,148.042518,274.498404,464.584971
8,Decile 8,0.0289758742813886,0.0171242948895555,0.024910534977788,0.0369252054526738,346.750994745146,151.997172,282.948546,453.738609
9,Decile 9,0.0300375990057833,0.0169960697496466,0.0258692468223247,0.0378000533431819,401.57990750307,156.338169,303.999966,517.832328
10,Decile 10,0.0271753819126628,0.0149715689663188,0.02292546898255,0.033140315884347,420.41209557966,168.459483,311.299365,530.123871
