category,year,total_consumption,electricity_expenditure,group_rank,population_weight,electricity_share,below_median,equivalent_variation,equivalent_variation_eur
Decile 1,2020,29964.4925632199,1173.4996883739,1,0.1,0.0391630088811957,TRUE,0.0117489026643587,352.049906512171
Decile 2,2020,33963.9828066465,1220.31434672314,2,0.1,0.0359296597713602,TRUE,0.0107788979314081,366.094304016941
Decile 3,2020,33094.6830255977,1137.81126405632,3,0.1,0.0343804853237681,TRUE,0.0103141455971304,341.343379216896
Decile 4,2020,34690.216971331,1097.76487593555,4,0.1,0.0316447970574175,TRUE,0.00949343911722524,329.329462780664
Decile 5,2020,36279.5127201514,1121.30561589832,5,0.1,0.0309074056354536,TRUE,0.00927222169063607,336.391684769496
Decile 6,2020,44108.5596833839,1265.1767169945,6,0.1,0.0286832471084088,FALSE,0.00860497413252265,379.55301509835
Decile 7,2020,40106.7949853478,1216.56018254123,7,0.1,0.0303330192049921,FALSE,0.00909990576149762,364.96805476237
Decile 8,2020,46253.0065548091,1157.29596166765,8,0.1,0.0250209888582329,FALSE,0.00750629665746987,347.188788500296
Decile 9,2020,51571.5080928678,1339.05888225383,9,0.1,0.0259650906435101,FALSE,0.00778952719305302,401.717664676148
Decile 10,2020,60174.1168241252,1400.67454848501,10,0.1,0.0232770271074996,FALSE,0.00698310813224989,420.202364545504
