category,year,total_consumption,electricity_expenditure,group_rank,population_weight,electricity_share,below_median,equivalent_variation,equivalent_variation_eur
Décile1,2017,15705.200001,592,1,0.1,0.0376945215573381,TRUE,0.0113083564672014,177.6
Décile2,2017,18015.200001,635,2,0.1,0.0352480127872437,TRUE,0.0105744038361731,190.5
Décile3,2017,19810.2,640,3,0.1,0.0323065895346842,TRUE,0.00969197686040525,192
Décile4,2017,22323.2,683,4,0.1,0.0305959719036697,TRUE,0.00917879157110092,204.9
Décile5,2017,23472.2,714,5,0.1,0.0304189637102615,TRUE,0.00912568911307845,214.2
Décile6,2017,26592.2,759,6,0.1,0.0285422041049631,FALSE,0.00856266123148893,227.7
Décile7,2017,28422.2,814,7,0.1,0.0286395845501052,FALSE,0.00859187536503156,244.2
Décile8,2017,31826.2,808,8,0.1,0.0253878879665182,FALSE,0.00761636638995545,242.4
Décile9,2017,34897.2,855,9,0.1,0.0245005329940511,FALSE,0.00735015989821533,256.5
Décile10,2017,47312.2,957,10,0.1,0.0202273409395462,FALSE,0.00606820228186388,287.1
