year,source,coicop_div,coicop_label,q1_share,q5_share,q1_minus_q5
2005,2005 observed,01,Food and non-alcoholic beverages,28.5286782615531,13.7125444318372,14.8161338297159
2005,2005 observed,02,Alcoholic beverages and tobacco,2.24438902407323,1.42204164478312,0.822347379290116
2005,2005 observed,03,Clothing and footwear,4.68827929473076,7.71965464310835,-3.0313753483776
2005,2005 observed,04,"Housing, water, electricity, gas",35.9102243851717,23.0573895261263,12.8528348590455
2005,2005 observed,05,Furnishings and household equipment,2.89276807547217,8.83697307829509,-5.94420500282292
2005,2005 observed,06,Health,2.89276812534748,4.67242254714453,-1.77965442179705
2005,2005 observed,07,Transport,7.83042397830859,16.505840519804,-8.67541654149545
2005,2005 observed,08,Communication,3.09226932205646,1.6759776527801,1.41629166927635
2005,2005 observed,09,Recreation and culture,3.09226937193177,7.21178267790158,-4.11951330596982
2005,2005 observed,10,Education,0.0997506232921437,0.457084814394574,-0.35733419110243
2005,2005 observed,11,Restaurants and hotels,1.69576059596644,6.80548501431921,-5.10972441835276
2005,2005 observed,12,Miscellaneous goods and services,7.03241894209613,7.92280344950594,-0.890384507409809
2015,2015 estimated from 2005 income intensities,01,Food and non-alcoholic beverages,24.1366361776607,11.3635761187096,12.7730600589512
2015,2015 estimated from 2005 income intensities,02,Alcoholic beverages and tobacco,2.15784755304534,1.35118891727117,0.80665863577417
2015,2015 estimated from 2005 income intensities,03,Clothing and footwear,3.39387856717868,5.47642898941775,-2.08255042223907
2015,2015 estimated from 2005 income intensities,04,"Housing, water, electricity, gas",40.7578274615652,26.0023174587606,14.7555100028046
2015,2015 estimated from 2005 income intensities,05,Furnishings and household equipment,2.71689590435668,7.30502499065412,-4.58812908629744
2015,2015 estimated from 2005 income intensities,06,Health,3.63917839683399,5.92072803172223,-2.28154963488825
2015,2015 estimated from 2005 income intensities,07,Transport,7.76484662756577,17.8708815471383,-10.1060349195725
2015,2015 estimated from 2005 income intensities,08,Communication,3.30129971804899,1.77875642716795,1.52254329088104
2015,2015 estimated from 2005 income intensities,09,Recreation and culture,3.11900363263754,7.24034369881916,-4.12134006618162
2015,2015 estimated from 2005 income intensities,10,Education,0.104120259927488,0.467408041145428,-0.36328778121794
2015,2015 estimated from 2005 income intensities,11,Restaurants and hotels,2.2517678501845,7.31747756734837,-5.06570971716387
2015,2015 estimated from 2005 income intensities,12,Miscellaneous goods and services,6.65669785099511,7.90586821184531,-1.2491703608502
