year,category,coicop_div,coicop_label,share
2005,First quintile,01,Food and non-alcoholic beverages,28.5286782615531
2005,Fifth quintile,01,Food and non-alcoholic beverages,13.7125444318372
2005,First quintile,02,Alcoholic beverages and tobacco,2.24438902407323
2005,Fifth quintile,02,Alcoholic beverages and tobacco,1.42204164478312
2005,First quintile,03,Clothing and footwear,4.68827929473076
2005,Fifth quintile,03,Clothing and footwear,7.71965464310835
2005,First quintile,04,"Housing, water, electricity, gas",35.9102243851717
2005,Fifth quintile,04,"Housing, water, electricity, gas",23.0573895261263
2005,First quintile,05,Furnishings and household equipment,2.89276807547217
2005,Fifth quintile,05,Furnishings and household equipment,8.83697307829509
2005,First quintile,06,Health,2.89276812534748
2005,Fifth quintile,06,Health,4.67242254714453
2005,First quintile,07,Transport,7.83042397830859
2005,Fifth quintile,07,Transport,16.505840519804
2005,First quintile,08,Communication,3.09226932205646
2005,Fifth quintile,08,Communication,1.6759776527801
2005,First quintile,09,Recreation and culture,3.09226937193177
2005,Fifth quintile,09,Recreation and culture,7.21178267790158
2005,First quintile,10,Education,0.0997506232921437
2005,Fifth quintile,10,Education,0.457084814394574
2005,First quintile,11,Restaurants and hotels,1.69576059596644
2005,Fifth quintile,11,Restaurants and hotels,6.80548501431921
2005,First quintile,12,Miscellaneous goods and services,7.03241894209613
2005,Fifth quintile,12,Miscellaneous goods and services,7.92280344950594
