"TIPO_DATO8","Data type","COICOP_2015","Coicop","QUANTILE","Total equivalent expenditure quantile","TIME","Select time","Value","Flag Codes","Flags"
"SPESA_MEDIA","household average monthly expenditure (in current euros)","01"," -- food and non-alcoholic beverages","I_FIFL","I quintile (lowest)","2021","2021",313.07,,
"SPESA_MEDIA","household average monthly expenditure (in current euros)","01"," -- food and non-alcoholic beverages","II_FIFL","II quintile","2021","2021",405.86,,
"SPESA_MEDIA","household average monthly expenditure (in current euros)","01"," -- food and non-alcoholic beverages","III_FIFL","III quintile","2021","2021",477.87,,
"SPESA_MEDIA","household average monthly expenditure (in current euros)","01"," -- food and non-alcoholic beverages","IV_FIFL","IV quintile","2021","2021",535.3,,
"SPESA_MEDIA","household average monthly expenditure (in current euros)","01"," -- food and non-alcoholic beverages","ALL","all items","2021","2021",469.91,,
"SPESA_MEDIA","household average monthly expenditure (in current euros)","01"," -- food and non-alcoholic beverages","V_FIFH","V quintile (highest)","2021","2021",617.45,,
"SPESA_MEDIA","household average monthly expenditure (in current euros)","01"," -- food and non-alcoholic beverages","ALL","all items","2021","2021",471.5,,
"SPESA_MEDIA","household average monthly expenditure (in current euros)","01"," -- food and non-alcoholic beverages","ALL","all items","2021","2021",453.59,,
"SPESA_MEDIA","household average monthly expenditure (in current euros)","01"," -- food and non-alcoholic beverages","ALL","all items","2021","2021",466.78,,
"SPESA_MEDIA","household average monthly expenditure (in current euros)","01"," -- food and non-alcoholic beverages","ALL","all items","2021","2021",484.42,,
"SPESA_MEDIA","household average monthly expenditure (in current euros)","01"," -- food and non-alcoholic beverages","ALL","all items","2021","2021",473.04,,
"SPESA_MEDIA","household average monthly expenditure (in current euros)","011","food","I_FIFL","I quintile (lowest)","2021","2021",288.42,,
"SPESA_MEDIA","household average monthly expenditure (in current euros)","011","food","II_FIFL","II quintile","2021","2021",373.84,,
"SPESA_MEDIA","household average monthly expenditure (in current euros)","011","food","III_FIFL","III quintile","2021","2021",441.02,,
"SPESA_MEDIA","household average monthly expenditure (in current euros)","011","food","IV_FIFL","IV quintile","2021","2021",492.66,,
"SPESA_MEDIA","household average monthly expenditure (in current euros)","011","food","ALL","all items","2021","2021",432.57,,
"SPESA_MEDIA","household average monthly expenditure (in current euros)","011","food","V_FIFH","V quintile (highest)","2021","2021",566.92,,
"SPESA_MEDIA","household average monthly expenditure (in current euros)","011","food","ALL","all items","2021","2021",433.49,,
"SPESA_MEDIA","household average monthly expenditure (in current euros)","011","food","ALL","all items","2021","2021",419.8,,
"SPESA_MEDIA","household average monthly expenditure (in current euros)","011","food","ALL","all items","2021","2021",430.8,,
"SPESA_MEDIA","household average monthly expenditure (in current euros)","011","food","ALL","all items","2021","2021",445.82,,
"SPESA_MEDIA","household average monthly expenditure (in current euros)","011","food","ALL","all items","2021","2021",430.73,,
"SPESA_MEDIA","household average monthly expenditure (in current euros)","0111","bread and cereals","I_FIFL","I quintile (lowest)","2021","2021",54.81,,
"SPESA_MEDIA","household average monthly expenditure (in current euros)","0111","bread and cereals","II_FIFL","II quintile","2021","2021",68.69,,
"SPESA_MEDIA","household average monthly expenditure (in current euros)","0111","bread and cereals","III_FIFL","III quintile","2021","2021",78.03,,
"SPESA_MEDIA","household average monthly expenditure (in current euros)","0111","bread and cereals","IV_FIFL","IV quintile","2021","2021",86.11,,
