IDENT;Regroupement;Ensemble;Décile1;Décile2;Décile3;Décile4;Décile5;Décile6;Décile7;Décile8;Décile9;Décile10
00;TOTAL DE LA CONSOMMATION - CHAMP COMPTABILITE NATIONALE;27 408;16 123;18 322;20 071;22 638;23 787;27 081;29 059;32 645;35 867;48 353
01 ;01 - PRODUITS ALIMENTAIRES ET BOISSONS NON-ALCOOLISEES;4 410;2 863;3 436;3 539;4 098;4 042;4 403;4 536;5 174;5 436;6 559
011;011 - Produits alimentaires (hors café, thé, cacao et boissons);3 898;2 531;3 061;3 148;3 672;3 590;3 888;3 987;4 571;4 784;5 735
0111;0111 - Pain et céréales, produits à base de céréales (yc pâtisserie, riz, pâtes);786;563;655;679;734;770;793;827;911;901;1 026
01111;01111 - Riz sous toutes ses formes et produits à base de riz;31;31;30;26;28;29;32;30;34;33;35
01112;01112 - Pain et autres produits de boulangerie et de viennoiserie yc biscuits et gâteaux;496;341;407;431;461;483;511;510;578;567;665
01113;01113 - Pâtes alimentaires sous toutes leurs formes et plats à base de pâtes;62;45;50;51;56;58;56;66;76;74;84
01114;01114 - Préparations telles que pâte à pâtisser, gâteau industriel, tarte, tourte, quiche, pizza;145;105;120;122;144;151;147;159;163;163;172
01115;01115 - Autres céréales et produits à base de céréales yc farine, semoule, céréales petit déjeuner, couscous, taboulé;53;41;47;48;43;50;48;63;59;65;69
0112;0112 - Viande;957;605;772;784;970;901;1 001;1 008;1 090;1 138;1 302
01121;01121 - Viande bovine fraîche ou surgelée;255;160;194;201;266;219;264;274;277;320;372
01122;01122 - Viande porcine fraîche ou surgelée;75;51;53;71;83;72;80;78;96;83;82
01123;01123 - Viande ovine ou caprine fraîche ou surgelée;32;22;49;22;29;23;28;31;34;43;41
01124;01124 - Viande de volaille fraîche ou surgelée;159;109;141;123;147;154;169;175;174;175;222
01125;01125 - Viande séchée salée ou fumée, charcuterie et abats, frais ou surgelé (jambon, saucisses, pâtés, abats, etc.);314;183;237;277;328;308;329;327;358;372;422
01126;01126 - Conserve de viande, produit de transformation des viandes, plat préparé de viande;111;72;88;84;106;115;116;113;130;132;149
01127;01127 - Autres viandes comestibles fraîches ou surgelées (cheval, lapin, gibier) yc animaux sur pied;12;8;10;6;11;9;15;11;20;14;15
0113;0113 - Poissons et fruits de mer;297;162;184;198;251;240;296;282;357;421;583
01130;01130 - Poissons frais;111;59;68;74;105;85;102;96;119;164;236
01131;01131 - Poissons surgelés ou congelés (hors poissons panés ou cuisinés);19;13;13;11;15;18;21;19;30;21;28
01132;01132 - Fruits de mer frais ou surgelés (yc cuits, nc cuisinés );59;25;29;35;46;48;68;57;70;93;119
01133;01133 - Poissons et fruits de mer salés, fumés, séchés yc surgelé;24;12;9;15;17;17;24;22;39;36;49
01134;01134 - Conserves de poisson et de fruits de mer et plats préparés à base de poissons ou de fruits de mer;85;53;65;63;69;72;81;89;99;106;150
0114;0114 - Lait, fromages et œufs;572;377;445;473;542;546;558;599;677;678;822
01145;01145 - Fromage et lait caillé;278;170;205;209;254;263;267;300;333;333;442
01147;01147 - Œufs;45;32;35;37;39;41;42;43;61;54;66
0114A;0114A - Lait frais, condensé, en poudre;73;60;70;77;80;71;72;70;73;70;82
0114B;0114B - Yaourts et produits laitiers;177;115;135;150;169;171;177;186;210;221;231
0115;0115 - Huiles et graisses;90;67;80;79;91;89;95;84;92;109;112
01151;01151 - Beurre;41;28;33;39;45;39;43;43;47;48;48
0115A;0115A - Huiles alimentaires;35;31;33;27;32;35;37;30;31;47;53
0115B;0115B - Margarine et autres graisses alimentaires;13;7;14;13;14;14;15;12;13;14;10
0116;0116 - Fruits;336;207;242;247;291;263;299;360;397;455;596
