weight_year,coicop,product_label,category,weight_eurostat_hbs,weight_insee_bdf,diff_insee_minus_eurostat,abs_diff
2022,041,Actual rental payments made for housing,Fifth quintile,3.29796832355829,5.15028092143154,1.85231259787325,1.85231259787325
2022,043,"Maintenance, repair and security of the dwelling",Fifth quintile,2.74526840272923,2.34897241546749,-0.396295987261741,0.396295987261741
2022,081,Information and communication equipment,Fifth quintile,1.53799788358461,1.16357762095268,-0.374420262631936,0.374420262631936
2022,054,"Glassware, tableware and household utensils",Fifth quintile,0.621366563493332,0.877253135447967,0.255886571954635,0.255886571954635
2022,044,Water supply and miscellaneous services relating to the dwelling,Fifth quintile,1.45856282805881,1.63974299622643,0.181180168167614,0.181180168167614
2022,09,"Recreation, sport and culture",Fifth quintile,8.62779117400588,8.79586077517842,0.168069601172533,0.168069601172533
2022,051,"Furniture, furnishings, and loose carpets",Fifth quintile,2.75523114205609,2.60911302440014,-0.146118117655954,0.146118117655954
2022,056,Goods and services for routine household maintenance,Fifth quintile,1.67589731788346,1.81386602146357,0.13796870358011,0.13796870358011
2022,031,Clothing,Fifth quintile,3.6027311325623,3.47853080171153,-0.124200330850769,0.124200330850769
2022,052,Household textiles,Fifth quintile,0.452148249986153,0.570249588319964,0.11810133833381,0.11810133833381
2022,053,Household appliances,Fifth quintile,1.31944028960154,1.21351707696334,-0.105923212638197,0.105923212638197
2022,055,Tools and equipment for house and garden,Fifth quintile,0.661454728879999,0.757916159941955,0.0964614310619555,0.0964614310619555
2022,032,Footwear,Fifth quintile,1.12683721295214,1.0381759126065,-0.0886613003456351,0.0886613003456351
2022,083,Information and communication services,Fifth quintile,2.72069512827346,2.64469794149729,-0.0759971867761702,0.0759971867761702
2022,111,Food and beverage serving services,Fifth quintile,8.37331041883216,8.42422229163215,0.050911872799988,0.050911872799988
2022,112,Accommodation services,Fifth quintile,2.63246787442531,2.60282067437309,-0.0296472000522185,0.0296472000522185
2022,045,"Electricity, gas and other fuels",Fifth quintile,6.13413473079412,6.11485155637924,-0.0192831744148885,0.0192831744148885
2022,082,"Software, excluding games",Fifth quintile,1.15638938615384e-07,9.65276955528611e-08,-1.91112430625234e-08,1.91112430625234e-08
2022,01,Food and non-alcoholic beverages,Fifth quintile,17.1359116422059,,,
2022,011,Food,Fifth quintile,,15.1756978384961,,
2022,012,Non-alcoholic beverages,Fifth quintile,,1.28476658597897,,
2022,013,Services for processing primary goods for food and non-alcoholic beverages,Fifth quintile,,1.23347290648613e-07,,
2022,02,"Alcoholic beverages, tobacco and narcotics",Fifth quintile,,4.02522064951175,,
2022,021,Alcoholic beverages,Fifth quintile,2.3775365779323,,,
2022,022,Alcohol production services,Fifth quintile,7.11624237633135e-08,,,
2022,023,Tobacco,Fifth quintile,2.81927732344307e-06,,,
2022,06,Health,Fifth quintile,4.95982635155047,,,
2022,061,Medicines and health products,Fifth quintile,,2.18254440069183,,
2022,062,Outpatient care services,Fifth quintile,,2.29078607774664,,
2022,063,Inpatient care services,Fifth quintile,,0.150974463988438,,
2022,064,Other health services,Fifth quintile,,0.39600665855553,,
2022,07,Transport,Fifth quintile,21.0156249882156,,,
2022,071,Purchase of vehicles,Fifth quintile,,4.69831670316621,,
2022,072,Operation of personal transport equipment,Fifth quintile,,10.2636913648284,,
2022,073,Passenger transport services,Fifth quintile,,2.70838821398153,,
