decile,year,idbank,official_index,official_title,calculated_index,diff_index_points
D1,2010,010054292,94.98,Indice annuel des prix à la consommation - Base 2015 - Niveau de vie du ménage - Inférieur au 1er décile - France métropolitaine - Séries arrêtées,94.0839296038884,-0.896070396111639
D1,2011,010054292,97.09,Indice annuel des prix à la consommation - Base 2015 - Niveau de vie du ménage - Inférieur au 1er décile - France métropolitaine - Séries arrêtées,96.5751639059786,-0.514836094021447
D1,2012,010054292,98.87,Indice annuel des prix à la consommation - Base 2015 - Niveau de vie du ménage - Inférieur au 1er décile - France métropolitaine - Séries arrêtées,98.6137668019264,-0.256233198073574
D1,2013,010054292,99.6,Indice annuel des prix à la consommation - Base 2015 - Niveau de vie du ménage - Inférieur au 1er décile - France métropolitaine - Séries arrêtées,99.475716139767,-0.124283860233007
D1,2014,010054292,100.05,Indice annuel des prix à la consommation - Base 2015 - Niveau de vie du ménage - Inférieur au 1er décile - France métropolitaine - Séries arrêtées,99.9079609731118,-0.142039026888227
D1,2015,010054292,100,Indice annuel des prix à la consommation - Base 2015 - Niveau de vie du ménage - Inférieur au 1er décile - France métropolitaine - Séries arrêtées,100,1.4210854715202e-14
D1,2016,010054292,99.95,Indice annuel des prix à la consommation - Base 2015 - Niveau de vie du ménage - Inférieur au 1er décile - France métropolitaine - Séries arrêtées,100.358497250403,0.408497250403372
D1,2017,010054292,100.91,Indice annuel des prix à la consommation - Base 2015 - Niveau de vie du ménage - Inférieur au 1er décile - France métropolitaine - Séries arrêtées,101.538639986908,0.628639986908482
D1,2018,010054292,102.81,Indice annuel des prix à la consommation - Base 2015 - Niveau de vie du ménage - Inférieur au 1er décile - France métropolitaine - Séries arrêtées,103.510786398894,0.700786398893754
D1,2019,010054292,103.97,Indice annuel des prix à la consommation - Base 2015 - Niveau de vie du ménage - Inférieur au 1er décile - France métropolitaine - Séries arrêtées,104.78249842264,0.812498422640289
D1,2020,010054292,104.43,Indice annuel des prix à la consommation - Base 2015 - Niveau de vie du ménage - Inférieur au 1er décile - France métropolitaine - Séries arrêtées,105.074905021507,0.644905021506588
D1,2021,010054292,106.37,Indice annuel des prix à la consommation - Base 2015 - Niveau de vie du ménage - Inférieur au 1er décile - France métropolitaine - Séries arrêtées,107.045116301844,0.675116301843858
D1,2022,010054292,112.19,Indice annuel des prix à la consommation - Base 2015 - Niveau de vie du ménage - Inférieur au 1er décile - France métropolitaine - Séries arrêtées,113.573519970882,1.38351997088228
D1,2023,010054292,117.88,Indice annuel des prix à la consommation - Base 2015 - Niveau de vie du ménage - Inférieur au 1er décile - France métropolitaine - Séries arrêtées,120.05905491987,2.17905491987007
D2,2010,010054293,94.82,Indice annuel des prix à la consommation - Base 2015 - Niveau de vie du ménage - Entre le 1er et 2ème décile - France métropolitaine - Séries arrêtées,94.0293945055842,-0.790605494415843
D2,2011,010054293,97.02,Indice annuel des prix à la consommation - Base 2015 - Niveau de vie du ménage - Entre le 1er et 2ème décile - France métropolitaine - Séries arrêtées,96.5491915931047,-0.470808406895259
D2,2012,010054293,98.89,Indice annuel des prix à la consommation - Base 2015 - Niveau de vie du ménage - Entre le 1er et 2ème décile - France métropolitaine - Séries arrêtées,98.6656411222136,-0.224358877786443
D2,2013,010054293,99.63,Indice annuel des prix à la consommation - Base 2015 - Niveau de vie du ménage - Entre le 1er et 2ème décile - France métropolitaine - Séries arrêtées,99.5497836011377,-0.0802163988623335
D2,2014,010054293,100.09,Indice annuel des prix à la consommation - Base 2015 - Niveau de vie du ménage - Entre le 1er et 2ème décile - France métropolitaine - Séries arrêtées,99.9691977647649,-0.120802235235075
D2,2015,010054293,100,Indice annuel des prix à la consommation - Base 2015 - Niveau de vie du ménage - Entre le 1er et 2ème décile - France métropolitaine - Séries arrêtées,100,0
D2,2016,010054293,100,Indice annuel des prix à la consommation - Base 2015 - Niveau de vie du ménage - Entre le 1er et 2ème décile - France métropolitaine - Séries arrêtées,100.290388369556,0.290388369555828
D2,2017,010054293,101,Indice annuel des prix à la consommation - Base 2015 - Niveau de vie du ménage - Entre le 1er et 2ème décile - France métropolitaine - Séries arrêtées,101.561774026269,0.561774026269447
D2,2018,010054293,102.98,Indice annuel des prix à la consommation - Base 2015 - Niveau de vie du ménage - Entre le 1er et 2ème décile - France métropolitaine - Séries arrêtées,103.655702216826,0.675702216826338
D2,2019,010054293,104.2,Indice annuel des prix à la consommation - Base 2015 - Niveau de vie du ménage - Entre le 1er et 2ème décile - France métropolitaine - Séries arrêtées,104.974433042252,0.774433042252198
D2,2020,010054293,104.73,Indice annuel des prix à la consommation - Base 2015 - Niveau de vie du ménage - Entre le 1er et 2ème décile - France métropolitaine - Séries arrêtées,105.190294144552,0.460294144551909
D2,2021,010054293,106.57,Indice annuel des prix à la consommation - Base 2015 - Niveau de vie du ménage - Entre le 1er et 2ème décile - France métropolitaine - Séries arrêtées,107.201380753246,0.631380753246376
D2,2022,010054293,112.26,Indice annuel des prix à la consommation - Base 2015 - Niveau de vie du ménage - Entre le 1er et 2ème décile - France métropolitaine - Séries arrêtées,114.059399695309,1.79939969530868
D2,2023,010054293,118.09,Indice annuel des prix à la consommation - Base 2015 - Niveau de vie du ménage - Entre le 1er et 2ème décile - France métropolitaine - Séries arrêtées,120.643599139295,2.55359913929523
D8,2010,010054299,94.8,Indice annuel des prix à la consommation - Base 2015 - Niveau de vie du ménage - Entre le 7ème et le 8ème décile - France métropolitaine - Séries arrêtées,93.4472406701971,-1.35275932980289
D8,2011,010054299,96.71,Indice annuel des prix à la consommation - Base 2015 - Niveau de vie du ménage - Entre le 7ème et le 8ème décile - France métropolitaine - Séries arrêtées,95.9582210501907,-0.75177894980925
D8,2012,010054299,98.6,Indice annuel des prix à la consommation - Base 2015 - Niveau de vie du ménage - Entre le 7ème et le 8ème décile - France métropolitaine - Séries arrêtées,98.1599485759622,-0.440051424037776
D8,2013,010054299,99.44,Indice annuel des prix à la consommation - Base 2015 - Niveau de vie du ménage - Entre le 7ème et le 8ème décile - France métropolitaine - Séries arrêtées,99.2353690818305,-0.204630918169485
D8,2014,010054299,99.92,Indice annuel des prix à la consommation - Base 2015 - Niveau de vie du ménage - Entre le 7ème et le 8ème décile - France métropolitaine - Séries arrêtées,99.791958454862,-0.128041545138032
D8,2015,010054299,100,Indice annuel des prix à la consommation - Base 2015 - Niveau de vie du ménage - Entre le 7ème et le 8ème décile - France métropolitaine - Séries arrêtées,100,-1.4210854715202e-14
D8,2016,010054299,100.22,Indice annuel des prix à la consommation - Base 2015 - Niveau de vie du ménage - Entre le 7ème et le 8ème décile - France métropolitaine - Séries arrêtées,100.417094512265,0.197094512264727
D8,2017,010054299,101.24,Indice annuel des prix à la consommation - Base 2015 - Niveau de vie du ménage - Entre le 7ème et le 8ème décile - France métropolitaine - Séries arrêtées,101.746011777504,0.506011777504412
D8,2018,010054299,103.03,Indice annuel des prix à la consommation - Base 2015 - Niveau de vie du ménage - Entre le 7ème et le 8ème décile - France métropolitaine - Séries arrêtées,103.819659055066,0.789659055065812
D8,2019,010054299,104.13,Indice annuel des prix à la consommation - Base 2015 - Niveau de vie du ménage - Entre le 7ème et le 8ème décile - France métropolitaine - Séries arrêtées,105.14257188215,1.01257188215006
