year,month,inflation_gap,date,dimension,low_label,high_label
2021,1,-0.216276024729379,2021-01-01,France - revenu,1er quintile,5e quintile
2021,2,-0.0824299208111122,2021-02-01,France - revenu,1er quintile,5e quintile
2021,3,-0.0870743861175192,2021-03-01,France - revenu,1er quintile,5e quintile
2021,4,-0.0100012307293689,2021-04-01,France - revenu,1er quintile,5e quintile
2021,5,0.111053242861705,2021-05-01,France - revenu,1er quintile,5e quintile
2021,6,0.0810129844932275,2021-06-01,France - revenu,1er quintile,5e quintile
2021,7,0.114869289243215,2021-07-01,France - revenu,1er quintile,5e quintile
2021,8,0.0237322851321782,2021-08-01,France - revenu,1er quintile,5e quintile
2021,9,0.0540594648117811,2021-09-01,France - revenu,1er quintile,5e quintile
2021,10,0.138903855491844,2021-10-01,France - revenu,1er quintile,5e quintile
2021,11,0.0909983903996423,2021-11-01,France - revenu,1er quintile,5e quintile
2021,12,0.122518017015973,2021-12-01,France - revenu,1er quintile,5e quintile
2022,1,0.117230718611744,2022-01-01,France - revenu,1er quintile,5e quintile
2022,2,0.0608070620789203,2022-02-01,France - revenu,1er quintile,5e quintile
2022,3,0.312852184741028,2022-03-01,France - revenu,1er quintile,5e quintile
2022,4,0.23610893907806,2022-04-01,France - revenu,1er quintile,5e quintile
2022,5,0.191660626842878,2022-05-01,France - revenu,1er quintile,5e quintile
2022,6,0.278185684483692,2022-06-01,France - revenu,1er quintile,5e quintile
2022,7,0.221241208691469,2022-07-01,France - revenu,1er quintile,5e quintile
2022,8,0.172830700518125,2022-08-01,France - revenu,1er quintile,5e quintile
2022,9,0.25964371290731,2022-09-01,France - revenu,1er quintile,5e quintile
2022,10,0.321737945534786,2022-10-01,France - revenu,1er quintile,5e quintile
2022,11,0.291656315080363,2022-11-01,France - revenu,1er quintile,5e quintile
2022,12,0.110757850825058,2022-12-01,France - revenu,1er quintile,5e quintile
2023,1,0.106375362823784,2023-01-01,France - revenu,1er quintile,5e quintile
2023,2,0.202506542316718,2023-02-01,France - revenu,1er quintile,5e quintile
2023,3,0.0958808162705846,2023-03-01,France - revenu,1er quintile,5e quintile
2023,4,0.128673186404812,2023-04-01,France - revenu,1er quintile,5e quintile
2023,5,0.100566970449209,2023-05-01,France - revenu,1er quintile,5e quintile
2023,6,-0.0193421309570452,2023-06-01,France - revenu,1er quintile,5e quintile
2023,7,-0.0176666247635762,2023-07-01,France - revenu,1er quintile,5e quintile
2023,8,0.260948558314361,2023-08-01,France - revenu,1er quintile,5e quintile
2023,9,0.259839375918121,2023-09-01,France - revenu,1er quintile,5e quintile
2023,10,0.132626035365275,2023-10-01,France - revenu,1er quintile,5e quintile
2023,11,0.153981365041231,2023-11-01,France - revenu,1er quintile,5e quintile
2023,12,0.249672194172272,2023-12-01,France - revenu,1er quintile,5e quintile
2024,1,0.264836788742261,2024-01-01,France - revenu,1er quintile,5e quintile
2024,2,0.30999418864178,2024-02-01,France - revenu,1er quintile,5e quintile
2024,3,0.18875394147762,2024-03-01,France - revenu,1er quintile,5e quintile
2024,4,0.194291484331085,2024-04-01,France - revenu,1er quintile,5e quintile
2024,5,0.239702860352977,2024-05-01,France - revenu,1er quintile,5e quintile
2024,6,0.24732722908293,2024-06-01,France - revenu,1er quintile,5e quintile
2024,7,0.255308535200835,2024-07-01,France - revenu,1er quintile,5e quintile
2024,8,-0.0197395233762567,2024-08-01,France - revenu,1er quintile,5e quintile
2024,9,-0.112163823280853,2024-09-01,France - revenu,1er quintile,5e quintile
2024,10,-0.0993246010865254,2024-10-01,France - revenu,1er quintile,5e quintile
2024,11,-0.0650341950542277,2024-11-01,France - revenu,1er quintile,5e quintile
2024,12,-0.0393347029390145,2024-12-01,France - revenu,1er quintile,5e quintile
2025,1,-0.0333468799628849,2025-01-01,France - revenu,1er quintile,5e quintile
2025,2,-0.397348870078536,2025-02-01,France - revenu,1er quintile,5e quintile
2025,3,-0.366723228895677,2025-03-01,France - revenu,1er quintile,5e quintile
2025,4,-0.419790893341192,2025-04-01,France - revenu,1er quintile,5e quintile
2025,5,-0.431094454909918,2025-05-01,France - revenu,1er quintile,5e quintile
2025,6,-0.373991062052427,2025-06-01,France - revenu,1er quintile,5e quintile
2025,7,-0.347259150362428,2025-07-01,France - revenu,1er quintile,5e quintile
2025,8,-0.315952557388471,2025-08-01,France - revenu,1er quintile,5e quintile
2025,9,-0.251589682825933,2025-09-01,France - revenu,1er quintile,5e quintile
2025,10,-0.261553337812575,2025-10-01,France - revenu,1er quintile,5e quintile
2025,11,-0.226284624247114,2025-11-01,France - revenu,1er quintile,5e quintile
2025,12,-0.177000945346788,2025-12-01,France - revenu,1er quintile,5e quintile
2026,1,-0.14466664079795,2026-01-01,France - revenu,1er quintile,5e quintile
2026,2,-0.0535599866545796,2026-02-01,France - revenu,1er quintile,5e quintile
2026,3,0.130184336729938,2026-03-01,France - revenu,1er quintile,5e quintile
2021,1,0.215963050730511,2021-01-01,France - age,moins de 25 ans,65 ans ou plus
2021,2,0.0012286946442972,2021-02-01,France - age,moins de 25 ans,65 ans ou plus
2021,3,-0.0231455661066928,2021-03-01,France - age,moins de 25 ans,65 ans ou plus
2021,4,0.164407377338552,2021-04-01,France - age,moins de 25 ans,65 ans ou plus
2021,5,0.0675285298980852,2021-05-01,France - age,moins de 25 ans,65 ans ou plus
2021,6,-0.316430527284424,2021-06-01,France - age,moins de 25 ans,65 ans ou plus
2021,7,-0.933411483742037,2021-07-01,France - age,moins de 25 ans,65 ans ou plus
2021,8,-0.571414030596619,2021-08-01,France - age,moins de 25 ans,65 ans ou plus
2021,9,-0.74173541322561,2021-09-01,France - age,moins de 25 ans,65 ans ou plus
2021,10,-0.884424507387402,2021-10-01,France - age,moins de 25 ans,65 ans ou plus
2021,11,-0.834666517821676,2021-11-01,France - age,moins de 25 ans,65 ans ou plus
2021,12,-1.28153073735177,2021-12-01,France - age,moins de 25 ans,65 ans ou plus
2022,1,-1.40122034239329,2022-01-01,France - age,moins de 25 ans,65 ans ou plus
2022,2,-1.30133184097651,2022-02-01,France - age,moins de 25 ans,65 ans ou plus
2022,3,-1.67224967705929,2022-03-01,France - age,moins de 25 ans,65 ans ou plus
2022,4,-1.87930962108871,2022-04-01,France - age,moins de 25 ans,65 ans ou plus
2022,5,-2.03552968130356,2022-05-01,France - age,moins de 25 ans,65 ans ou plus
2022,6,-2.12446721250594,2022-06-01,France - age,moins de 25 ans,65 ans ou plus
2022,7,-1.94446608936136,2022-07-01,France - age,moins de 25 ans,65 ans ou plus
2022,8,-1.98679916832872,2022-08-01,France - age,moins de 25 ans,65 ans ou plus
2022,9,-2.44389910150224,2022-09-01,France - age,moins de 25 ans,65 ans ou plus
