"idBank";"Dernière mise à jour";"Puissance";"Série arrêtée";"Type de ménages";"Zone géographique";"Indicateur";"Correction";"﻿Base de l'indice";"Formes de vente de la grande distribution";"Regroupement de produits";"Produit détaillé (COICOP 2016)";"Unité";"Périodicité";"Nature"
"001763510";"13/04/2016 12:00";"0";"oui";"Ensemble des ménages";"France";"Indice des prix à la consommation (IPC)";"Non corrigé";"2015";"Sans objet";"Sans objet";"03.1.1 - Tissus pour l'habillement";"sans objet";"Mensuelle";"Indice"
"001763511";"13/04/2016 12:00";"0";"oui";"Ensemble des ménages";"France";"Indice des prix à la consommation (IPC)";"Non corrigé";"2015";"Sans objet";"Sans objet";"03.1.1.0 - Tissus pour l'habillement";"sans objet";"Mensuelle";"Indice"
"001763542";"12/01/2017 12:00";"0";"oui";"Ensemble des ménages";"France";"Indice des prix à la consommation (IPC)";"Non corrigé";"2015";"Sans objet";"Sans objet";"04.3.2.9 - Autres services d'entretien et de réparation du logement";"sans objet";"Mensuelle";"Indice"
"001763591";"13/04/2016 12:00";"0";"oui";"Ensemble des ménages";"France";"Indice des prix à la consommation (IPC)";"Non corrigé";"2015";"Sans objet";"Sans objet";"05.3.1.9 - Autres gros appareils ménagers";"sans objet";"Mensuelle";"Indice"
"001763707";"13/04/2016 12:00";"0";"oui";"Ensemble des ménages";"France";"Indice des prix à la consommation (IPC)";"Non corrigé";"2015";"Sans objet";"Sans objet";"09.1.2.3 - Instruments d'optique";"sans objet";"Mensuelle";"Indice"
"001763714";"13/04/2016 12:00";"0";"oui";"Ensemble des ménages";"France";"Indice des prix à la consommation (IPC)";"Non corrigé";"2015";"Sans objet";"Sans objet";"09.1.4.2 - Supports d'enregistrement vierges";"sans objet";"Mensuelle";"Indice"
"001763722";"13/04/2016 12:00";"0";"oui";"Ensemble des ménages";"France";"Indice des prix à la consommation (IPC)";"Non corrigé";"2015";"Sans objet";"Sans objet";"09.2.1.5 - Grands articles pour jeux et sports";"sans objet";"Mensuelle";"Indice"
"001763960";"13/04/2016 12:00";"0";"oui";"Ensemble des ménages";"France métropolitaine";"Indice des prix à la consommation (IPC)";"Non corrigé";"2015";"Sans objet";"Sans objet";"03.1.1 - Tissus pour l'habillement";"sans objet";"Mensuelle";"Indice"
"001763961";"13/04/2016 12:00";"0";"oui";"Ensemble des ménages";"France métropolitaine";"Indice des prix à la consommation (IPC)";"Non corrigé";"2015";"Sans objet";"Sans objet";"03.1.1.0 - Tissus pour l'habillement";"sans objet";"Mensuelle";"Indice"
"001764040";"13/04/2016 12:00";"0";"oui";"Ensemble des ménages";"France métropolitaine";"Indice des prix à la consommation (IPC)";"Non corrigé";"2015";"Sans objet";"Sans objet";"05.3.1.9 - Autres gros appareils ménagers";"sans objet";"Mensuelle";"Indice"
"001764156";"13/04/2016 12:00";"0";"oui";"Ensemble des ménages";"France métropolitaine";"Indice des prix à la consommation (IPC)";"Non corrigé";"2015";"Sans objet";"Sans objet";"09.1.2.3 - Instruments d'optique";"sans objet";"Mensuelle";"Indice"
"001764163";"13/04/2016 12:00";"0";"oui";"Ensemble des ménages";"France métropolitaine";"Indice des prix à la consommation (IPC)";"Non corrigé";"2015";"Sans objet";"Sans objet";"09.1.4.2 - Supports d'enregistrement vierges";"sans objet";"Mensuelle";"Indice"
"001764171";"13/04/2016 12:00";"0";"oui";"Ensemble des ménages";"France métropolitaine";"Indice des prix à la consommation (IPC)";"Non corrigé";"2015";"Sans objet";"Sans objet";"09.2.1.5 - Grands articles pour jeux et sports";"sans objet";"Mensuelle";"Indice"
"001764562";"22/02/2016 12:00";"0";"oui";"Ensemble des ménages";"France";"Indice des prix à la consommation (IPC)";"Non corrigé";"2015";"Sans objet";"Sans objet";"03.1.1 - Tissus pour l'habillement";"sans objet";"Annuelle";"Indice"
"001764563";"22/02/2016 12:00";"0";"oui";"Ensemble des ménages";"France";"Indice des prix à la consommation (IPC)";"Non corrigé";"2015";"Sans objet";"Sans objet";"03.1.1.0 - Tissus pour l'habillement";"sans objet";"Annuelle";"Indice"
"001764564";"22/02/2016 12:00";"0";"oui";"Ensemble des ménages";"France";"Indice des prix à la consommation (IPC)";"Non corrigé";"2015";"Sans objet";"Sans objet";"03.1.1.0.1 - Tissus pour l'habillement";"sans objet";"Annuelle";"Indice"
"001764642";"12/01/2017 12:00";"0";"oui";"Ensemble des ménages";"France";"Indice des prix à la consommation (IPC)";"Non corrigé";"2015";"Sans objet";"Sans objet";"04.3.2.9 - Autres services d'entretien et de réparation du logement";"sans objet";"Annuelle";"Indice"
"001764643";"12/01/2017 12:00";"0";"oui";"Ensemble des ménages";"France";"Indice des prix à la consommation (IPC)";"Non corrigé";"2015";"Sans objet";"Sans objet";"04.3.2.9.1 - Autres services d'entretien et de réparation du logement n.c.a.";"sans objet";"Annuelle";"Indice"
