"Libellé";"idBank";"Dernière mise à jour";"Période";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Indice annuel des prix à la consommation - Base 2015 - Ensemble des ménages - France - Nomenclature Coicop : 03.1.1 - Tissus pour l'habillement - Série arrêtée";"001764562";"22/02/2016 00:00";"";"84.5";"86.5";"89.0";"89.4";"89.6";"90.1";"90.6";"90.6";"90.8";"89.7";"90.3";"89.6";"91.1";"89.9";"88.6";"87.7";"88.32";"89.97";"90.83";"88.78";"91.38";"94.82";"96.04";"98.23";"98.11";"100.0";"";"";"";"";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";""
"Indice annuel des prix à la consommation - Base 2015 - Ensemble des ménages - France - Nomenclature Coicop : 03.1.1.0 - Tissus pour l'habillement - Série arrêtée";"001764563";"22/02/2016 00:00";"";"84.5";"86.5";"89.0";"89.4";"89.6";"90.1";"90.6";"90.6";"90.8";"89.7";"90.3";"89.6";"91.1";"89.9";"88.6";"87.7";"88.32";"89.97";"90.83";"88.78";"91.38";"94.82";"96.04";"98.23";"98.11";"100.0";"";"";"";"";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";""
"Indice annuel des prix à la consommation - Base 2015 - Ensemble des ménages - France - Nomenclature Coicop : 03.1.1.0.1 - Tissus pour l'habillement - Série arrêtée";"001764564";"22/02/2016 00:00";"";"84.5";"86.5";"89.0";"89.4";"89.6";"90.1";"90.6";"90.6";"90.8";"89.7";"90.3";"89.6";"91.1";"89.9";"88.6";"87.7";"88.32";"89.97";"90.83";"88.78";"91.38";"94.82";"96.04";"98.23";"98.11";"100.0";"";"";"";"";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";""
"Indice annuel des prix à la consommation - Base 2015 - Ensemble des ménages - France - Nomenclature Coicop : 04.3.2.9 - Autres services d'entretien et de réparation du logement - Série arrêtée";"001764642";"12/01/2017 00:00";"";"68.3";"72.1";"74.4";"76.5";"78.5";"80.0";"81.9";"82.0";"82.7";"81.9";"79.1";"79.9";"81.3";"82.4";"83.3";"84.9";"87.14";"88.38";"89.65";"90.45";"92.72";"93.58";"94.95";"96.22";"98.83";"100.0";"102.77";"";"";"";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";""
"Indice annuel des prix à la consommation - Base 2015 - Ensemble des ménages - France - Nomenclature Coicop : 04.3.2.9.1 - Autres services d'entretien et de réparation du logement n.c.a. - Série arrêtée";"001764643";"12/01/2017 00:00";"";"68.3";"72.1";"74.4";"76.5";"78.5";"80.0";"81.9";"82.0";"82.7";"81.9";"79.1";"79.9";"81.3";"82.4";"83.3";"84.9";"87.14";"88.38";"89.65";"90.45";"92.72";"93.58";"94.95";"96.22";"98.83";"100.0";"102.77";"";"";"";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";""
